         27262 function calls (26164 primitive calls) in 1.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.013    0.007    0.880    0.440 x:\_WORK\Python\Qt\BigLinks\HMC\cccore.py:89(init_managers)
        2    0.000    0.000    0.857    0.429 x:\_WORK\Python\Qt\BigLinks\HMC\context_manager.py:11(__init__)
        2    0.000    0.000    0.857    0.429 x:\_WORK\Python\Qt\BigLinks\HMC\context_manager.py:19(load_tokenizer)
        2    0.000    0.000    0.857    0.429 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\models\auto\tokenization_auto.py:707(from_pretrained)
        1    0.000    0.000    0.620    0.620 x:\_WORK\Python\Qt\BigLinks\main.py:102(initialize_managers)
        1    0.000    0.000    0.599    0.599 x:\_WORK\Python\Qt\BigLinks\HMC\cccore.py:36(__init__)
        2    0.000    0.000    0.545    0.273 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\tokenization_utils_base.py:2034(from_pretrained)
        2    0.001    0.000    0.541    0.270 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\tokenization_utils_base.py:2285(_from_pretrained)
        2    0.002    0.001    0.538    0.269 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\tokenization_utils_fast.py:97(__init__)
        2    0.534    0.267    0.534    0.267 {built-in method from_file}
       12    0.000    0.000    0.313    0.026 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\utils\hub.py:269(cached_file)
    22/12    0.000    0.000    0.313    0.026 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\utils\_validators.py:98(_inner_fn)
        2    0.000    0.000    0.312    0.156 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\models\auto\tokenization_auto.py:582(get_tokenizer_config)
        2    0.000    0.000    0.310    0.155 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\utils\_deprecation.py:75(inner_f)
        2    0.000    0.000    0.310    0.155 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:1001(hf_hub_download)
        2    0.000    0.000    0.310    0.155 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:1260(_hf_hub_download_to_cache_dir)
        2    0.000    0.000    0.308    0.154 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:1699(_get_metadata_or_catch_error)
        2    0.000    0.000    0.308    0.154 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:1624(get_hf_file_metadata)
      4/2    0.000    0.000    0.308    0.154 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:356(_request_wrapper)
        2    0.000    0.000    0.307    0.154 C:\Users\thewi\miniconda3\Lib\site-packages\requests\sessions.py:500(request)
        2    0.000    0.000    0.304    0.152 C:\Users\thewi\miniconda3\Lib\site-packages\requests\sessions.py:673(send)
        2    0.000    0.000    0.303    0.152 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\utils\_http.py:63(send)
        2    0.000    0.000    0.303    0.152 C:\Users\thewi\miniconda3\Lib\site-packages\requests\adapters.py:613(send)
        2    0.000    0.000    0.302    0.151 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\connectionpool.py:594(urlopen)
        2    0.000    0.000    0.301    0.151 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\connectionpool.py:379(_make_request)
        2    0.000    0.000    0.209    0.105 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\connectionpool.py:1087(_validate_conn)
        1    0.000    0.000    0.209    0.209 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\connection.py:658(connect)
        1    0.000    0.000    0.178    0.178 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\connection.py:835(_ssl_wrap_socket_and_match_hostname)
